id,home.rushingTDs,home.passingTDs,home.kickReturnYards,home.kickReturnTDs,home.kickReturns,home.kickingPoints,home.interceptionYards,home.interceptionTDs,home.passesIntercepted,home.fumblesRecovered,home.totalFumbles,home.tacklesForLoss,home.defensiveTDs,home.tackles,home.sacks,home.qbHurries,home.passesDeflected,home.firstDowns,home.thirdDownEff,home.fourthDownEff,home.totalYards,home.netPassingYards,home.completionAttempts,home.yardsPerPass,home.rushingYards,home.rushingAttempts,home.yardsPerRushAttempt,home.totalPenaltiesYards,home.turnovers,home.fumblesLost,home.interceptions,home.possessionTime,away.rushingTDs,away.puntReturnYards,away.puntReturnTDs,away.puntReturns,away.passingTDs,away.kickReturnYards,away.kickReturnTDs,away.kickReturns,away.interceptionYards,away.interceptionTDs,away.passesIntercepted,away.fumblesRecovered,away.totalFumbles,away.tacklesForLoss,away.defensiveTDs,away.tackles,away.sacks,away.qbHurries,away.passesDeflected,away.firstDowns,away.thirdDownEff,away.fourthDownEff,away.totalYards,away.netPassingYards,away.completionAttempts,away.yardsPerPass,away.rushingYards,away.rushingAttempts,away.yardsPerRushAttempt,away.totalPenaltiesYards,away.turnovers,away.fumblesLost,away.interceptions,away.possessionTime,home.puntReturnYards,home.puntReturnTDs,home.puntReturns,away.kickingPoints
401112220,0,0,108.0,0.0,5.0,,0.0,0.0,1.0,0,,7.0,0.0,39.0,2.0,5.0,4.0,7,0,0.5,140,57,8-20,2.9,83,27,3.1,7-84,2,1,1,22:09,0.0,9.0,0.0,2.0,3.0,,,,32.0,0.0,1.0,1,,5.0,0.0,27.0,3.0,4.0,6.0,25,0.4375,0.4375,395,239,21-30,8.0,156,47,3.3,4-40,1,0,1,37:51,0.0,0.0,1.0,9.0
401112256,2,2,,,,4.0,0.0,0.0,1.0,0,,9.0,0.0,37.0,5.0,0.0,5.0,27,0.5384615384615384,0.6666666666666666,417,188,16-22,8.5,229,61,3.8,4-25,3,3,0,34:08,2.0,7.0,0.0,1.0,0.0,39.0,0.0,2.0,,,,3,,10.0,0.0,42.0,3.0,0.0,2.0,15,0.4,0.4,227,128,16-28,4.6,99,36,2.8,5-32,1,0,1,25:52,7.0,0.0,2.0,5.0
401112236,2,1,124.0,0.0,6.0,2.0,0.0,0.0,1.0,0,,4.0,0.0,43.0,2.0,2.0,6.0,13,0.4666666666666667,1.0,222,95,8-12,7.9,127,49,2.6,5-36,0,0,0,28:42,1.0,2.0,0.0,2.0,4.0,48.0,0.0,2.0,,,,0,,5.0,0.0,46.0,3.0,4.0,0.0,23,0.8181818181818182,0.8181818181818182,423,211,15-23,9.2,212,39,5.4,6-46,1,0,1,31:18,,,,8.0
401112155,1,0,16.0,0.0,1.0,13.0,1.0,0.0,2.0,1,,6.0,0.0,45.0,3.0,3.0,4.0,16,0.3125,0.5,387,308,18-35,8.8,79,32,2.5,4-29,1,0,1,31:49,0.0,2.0,0.0,1.0,1.0,24.0,0.0,1.0,8.0,0.0,1.0,0,,6.0,0.0,38.0,0.0,1.0,2.0,20,0.3333333333333333,0.3333333333333333,336,144,18-34,4.2,192,39,4.9,4-31,3,1,2,28:11,16.0,0.0,1.0,4.0
401112167,2,0,,,,2.0,11.0,0.0,1.0,0,,5.0,0.0,43.0,2.0,1.0,1.0,19,0.4166666666666667,0.5,321,224,18-30,7.5,97,37,2.6,8-86,2,1,1,31:54,0.0,7.0,0.0,1.0,5.0,81.0,0.0,3.0,0.0,0.0,1.0,1,,4.0,0.0,47.0,3.0,3.0,4.0,22,0.4166666666666667,0.4166666666666667,453,366,20-32,11.4,87,29,3.0,6-49,1,0,1,28:06,,,,7.0
401112210,1,0,77.0,0.0,7.0,1.0,0.0,0.0,1.0,0,,8.0,0.0,58.0,1.0,0.0,3.0,9,0.35714285714285715,0,206,57,7-21,2.7,149,31,4.8,4-40,4,4,0,20:02,4.0,10.0,0.0,1.0,2.0,16.0,0.0,1.0,,,,4,,7.0,0.0,36.0,6.0,0.0,4.0,31,0.4375,0.4375,531,226,19-30,7.5,305,57,5.4,1-10,1,0,1,39:58,,,,18.0
401112263,4,2,15.0,0.0,1.0,9.0,1.0,0.0,1.0,0,,5.0,0.0,38.0,2.0,0.0,7.0,31,0.8181818181818182,1.0,606,203,15-19,10.7,403,55,7.3,3-25,4,3,1,36:47,0.0,,,,3.0,,,,10.0,0.0,1.0,3,,4.0,0.0,54.0,1.0,2.0,0.0,20,0.3,0.3,376,326,27-44,7.4,50,20,2.5,2-5,1,0,1,23:13,7.0,0.0,1.0,6.0
401112200,1,1,15.0,0.0,1.0,6.0,38.0,1.0,1.0,1,,5.0,1.0,27.0,0.0,0.0,4.0,18,0.38095238095238093,1.0,284,100,12-23,4.3,184,56,3.3,3-25,1,0,1,33:51,2.0,,,,0.0,127.0,1.0,4.0,20.0,0.0,1.0,0,,10.0,1.0,40.0,2.0,2.0,2.0,13,0.3076923076923077,0.3076923076923077,324,99,11-25,4.0,225,31,7.3,6-49,2,1,1,26:08,0.0,0.0,1.0,9.0
401112156,1,0,89.0,0.0,5.0,4.0,29.0,0.0,1.0,0,,2.0,0.0,47.0,0.0,0.0,1.0,9,0.36363636363636365,0.5,160,146,11-23,6.3,14,26,0.5,5-40,2,1,1,18:12,3.0,38.0,0.0,3.0,1.0,21.0,0.0,2.0,0.0,0.0,1.0,1,,8.0,0.0,27.0,3.0,3.0,1.0,22,0.4375,0.4375,433,55,6-10,5.5,378,65,5.8,3-23,1,0,1,41:48,,,,5.0
401112168,2,3,51.0,0.0,3.0,9.0,,,,0,,8.0,0.0,53.0,5.0,0.0,3.0,28,0.5,0.25,589,408,28-50,8.2,181,33,5.5,1-15,2,1,1,21:55,3.0,10.0,0.0,1.0,3.0,47.0,0.0,2.0,9.0,0.0,1.0,1,,9.0,0.0,45.0,1.0,0.0,8.0,27,0.5789473684210527,0.5789473684210527,522,337,23-39,8.6,185,50,3.7,9-84,0,0,0,38:05,,,,8.0
