,season,week,home_team,away_team,home.totalYards,away.totalYards,Home_possession_time,Away_possession_time,Home_Offensive_TDs,Away_Offensive_TDs,home.turnovers,away.turnovers,home.thirdDownEff,home.fourthDownEff,away.thirdDownEff,away.fourthDownEff,away_points,home_points
140,2014,4,Navy,Rutgers,402,435,1286,2314,3,4.0,1,1,0.5,0.0,0.5714285714285714,0.5714285714285714,31.0,24.0
141,2014,4,Michigan,Utah,308,286,1286,2314,0,1.0,4,1,0.4736842105263158,0.5,0.35294117647058826,0.35294117647058826,26.0,10.0
142,2014,4,Missouri,Indiana,503,493,1286,2314,3,4.0,1,0,0.3125,1.0,0.07142857142857142,0.07142857142857142,31.0,27.0
143,2014,4,Illinois,Texas State,485,475,1286,2314,5,5.0,1,1,0.2857142857142857,0.0,0.4761904761904762,0.4761904761904762,35.0,42.0
144,2014,4,Minnesota,San José State,387,254,1286,2314,3,1.0,2,5,0.4166666666666667,0.0,0.5333333333333333,0.5333333333333333,7.0,24.0
145,2014,4,Penn State,UMass,464,266,1286,2314,6,1.0,0,1,0.5882352941176471,1.0,0.2307692307692308,0.2307692307692308,7.0,48.0
146,2014,4,Nebraska,Miami,456,435,1286,2314,4,4.0,2,3,0.7,0.0,0.4,0.4,31.0,41.0
147,2014,5,Rutgers,Tulane,462,304,1286,2314,4,1.0,1,0,0.3,1.0,0.2,0.2,6.0,31.0
148,2014,5,Michigan State,Wyoming,533,286,1286,2314,8,2.0,0,3,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,14.0,56.0
149,2014,5,Wisconsin,South Florida,454,245,1286,2314,3,1.0,1,2,0.4166666666666667,0.0,0.2222222222222222,0.2222222222222222,10.0,27.0
150,2014,5,Purdue,Iowa,156,420,1286,2314,0,3.0,2,1,0.35294117647058826,0.0,0.42105263157894735,0.42105263157894735,24.0,10.0
151,2014,5,Penn State,Northwestern,266,361,1286,2314,0,3.0,2,1,0.17647058823529413,0.25,0.4117647058823529,0.4117647058823529,29.0,6.0
152,2014,5,Indiana,Maryland,332,484,1286,2314,1,4.0,1,0,0.4736842105263158,0.0,0.35714285714285715,0.35714285714285715,37.0,15.0
153,2014,5,Michigan,Minnesota,171,373,1286,2314,2,2.0,2,0,0.3076923076923077,0.0,0.35714285714285715,0.35714285714285715,30.0,14.0
154,2014,5,Ohio State,Cincinnati,710,422,1286,2314,6,4.0,1,0,0.6428571428571429,0.5,0.3636363636363637,0.3636363636363637,28.0,50.0
155,2014,5,Nebraska,Illinois,624,339,1286,2314,6,2.0,2,3,0.4666666666666667,0.5,0.21428571428571427,0.21428571428571427,14.0,45.0
156,2014,6,Illinois,Purdue,515,551,1286,2314,4,5.0,2,0,0.6875,0.0,0.5,0.5,38.0,27.0
157,2014,6,Maryland,Ohio State,310,533,1286,2314,3,6.0,4,0,0.38461538461538464,1.0,0.5714285714285714,0.5714285714285714,52.0,24.0
158,2014,6,Indiana,North Texas,593,348,1286,2314,7,3.0,1,2,0.5333333333333333,0.6666666666666666,0.4,0.4,24.0,49.0
159,2014,6,Northwestern,Wisconsin,385,422,1286,2314,2,2.0,0,4,0.3125,1.0,0.3333333333333333,0.3333333333333333,14.0,20.0
160,2014,6,Rutgers,Michigan,476,336,1286,2314,3,3.0,0,1,0.5,0.0,0.3636363636363637,0.3636363636363637,24.0,26.0
161,2014,6,Michigan State,Nebraska,422,329,1286,2314,3,2.0,3,4,0.2352941176470588,1.0,0.2,0.2,22.0,27.0
162,2014,7,Iowa,Indiana,426,432,1286,2314,5,4.0,0,3,0.3125,1.0,0.2,0.2,29.0,45.0
163,2014,7,Minnesota,Northwestern,274,393,1286,2314,2,2.0,1,1,0.5,0.0,0.4117647058823529,0.4117647058823529,17.0,24.0
164,2014,7,Wisconsin,Illinois,498,288,1286,2314,5,4.0,0,1,0.3076923076923077,1.0,0.38461538461538464,0.38461538461538464,28.0,38.0
165,2014,7,Purdue,Michigan State,340,532,1286,2314,4,5.0,2,1,0.16666666666666666,0.75,0.4545454545454545,0.4545454545454545,45.0,31.0
166,2014,7,Michigan,Penn State,256,214,1286,2314,1,1.0,1,1,0.4,0.0,0.35294117647058826,0.35294117647058826,13.0,18.0
