id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
332430057,2013,1,regular,2013-08-31T16:21:00.000Z,,False,False,83604.0,3634.0,Ben Hill Griffin Stadium,57,Florida,SEC,24.0,"[7, 10, 7, 0]",0.964757957250212,1744.0,1760.0,2649,Toledo,Mid-American,6.0,"[0, 3, 3, 0]",0.0352420427497881,1481.0,1465.0,2.48703784765501,,
332430152,2013,1,regular,2013-08-31T16:30:00.000Z,,False,False,54204.0,3670.0,Carter-Finley Stadium,152,NC State,ACC,40.0,"[14, 10, 3, 13]",0.9322649760345354,1527.0,1602.0,2348,Louisiana Tech,Conference USA,14.0,"[0, 7, 0, 7]",0.0677350239654646,1597.0,1522.0,3.07949980072341,,
332430120,2013,1,regular,2013-08-31T16:30:00.000Z,,False,False,36321.0,3665.0,Maryland Stadium,120,Maryland,ACC,43.0,"[13, 27, 0, 3]",0.9999405681846,1403.0,1491.0,2229,Florida International,Conference USA,10.0,"[3, 7, 0, 0]",5.9431815399912935e-05,1378.0,1290.0,2.73739009096343,,
332430245,2013,1,regular,2013-08-31T17:00:00.000Z,,False,False,86686.0,3795.0,Kyle Field,245,Texas A&M,SEC,52.0,"[7, 21, 10, 14]",0.8622731083283163,1903.0,1912.0,242,Rice,Conference USA,31.0,"[14, 7, 0, 10]",0.1377268916716837,1480.0,1471.0,4.71621021309052,,
332432005,2013,1,regular,2013-08-31T19:00:00.000Z,,False,False,32095.0,3713.0,Falcon Stadium,2005,Air Force,Mountain West,38.0,"[0, 21, 10, 7]",0.9892705015010456,,,2142,Colgate,,13.0,"[7, 0, 0, 6]",0.0107294984989544,,,2.66852662156779,,
332430130,2013,1,regular,2013-08-31T19:30:00.000Z,,False,False,112618.0,3558.0,Michigan Stadium,130,Michigan,Big Ten,59.0,"[14, 21, 21, 3]",0.99824198251097,1744.0,1840.0,2117,Central Michigan,Mid-American,9.0,"[3, 3, 0, 3]",0.00175801748903,1344.0,1248.0,2.7794810387715,,
332430087,2013,1,regular,2013-08-31T19:30:00.000Z,,False,False,80795.0,3855.0,Notre Dame Stadium,87,Notre Dame,FBS Independents,28.0,"[14, 7, 7, 0]",0.9881945304211316,1782.0,1801.0,218,Temple,American Athletic,6.0,"[0, 6, 0, 0]",0.0118054695788683,1445.0,1426.0,1.7899420090745,,
332430197,2013,1,regular,2013-08-31T19:30:00.000Z,,True,False,35874.0,,,197,Oklahoma State,Big 12,21.0,"[0, 7, 7, 7]",0.8403315560101275,1844.0,1867.0,344,Mississippi State,SEC,3.0,"[3, 0, 0, 0]",0.1596684439898724,1593.0,1570.0,4.82954303740199,,
332432294,2013,1,regular,2013-08-31T19:30:00.000Z,,False,False,67402.0,3793.0,Kinnick Stadium,2294,Iowa,Big Ten,27.0,"[7, 17, 0, 3]",0.7406838081676672,1496.0,1503.0,2459,Northern Illinois,Mid-American,30.0,"[10, 7, 3, 10]",0.2593161918323328,1695.0,1688.0,6.45758721293611,,
332430258,2013,1,regular,2013-08-31T19:30:00.000Z,,False,False,53310.0,3923.0,Scott Stadium,258,Virginia,ACC,19.0,"[0, 3, 9, 7]",0.1545211372570858,1420.0,1425.0,252,BYU,FBS Independents,16.0,"[0, 7, 0, 9]",0.8454788627429142,1671.0,1666.0,7.40555111488028,,
332430213,2013,1,regular,2013-08-31T19:30:00.000Z,,True,False,0.0,,,213,Penn State,Big Ten,23.0,"[0, 6, 7, 10]",0.55073969764174,1665.0,1676.0,183,Syracuse,ACC,17.0,"[0, 3, 7, 7]",0.44926030235826,1628.0,1617.0,5.25865339236018,,
332430150,2013,1,regular,2013-08-31T20:00:00.000Z,,False,False,22521.0,3982.0,Wallace Wade Stadium,150,Duke,ACC,45.0,"[14, 14, 14, 3]",0.9999905817771696,,,2428,North Carolina Central,,0.0,"[0, 0, 0, 0]",9.418222830515076e-06,,,3.22686465301062,,
332430008,2013,1,regular,2013-08-31T20:00:00.000Z,,False,False,69801.0,3887.0,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,34.0,"[7, 13, 14, 0]",0.9084322825394356,1540.0,1583.0,309,Louisiana,Sun Belt,14.0,"[0, 7, 7, 0]",0.0915677174605643,1501.0,1458.0,4.22859360425001,,
332432483,2013,1,regular,2013-08-31T20:00:00.000Z,,False,False,57769.0,3626.0,Autzen Stadium,2483,Oregon,Pac-12,66.0,"[24, 14, 7, 21]",0.9972615778175568,,,2447,Nicholls,,3.0,"[0, 3, 0, 0]",0.0027384221824432,,,1.17365992347257,,
332430259,2013,1,regular,2013-08-31T21:30:00.000Z,,True,False,73114.0,3495.0,Georgia Dome,259,Virginia Tech,ACC,10.0,"[7, 3, 0, 0]",0.204219422454939,1565.0,1554.0,333,Alabama,SEC,35.0,"[14, 14, 7, 0]",0.795780577545061,2014.0,2025.0,2.89155105866755,,
332430204,2013,1,regular,2013-08-31T22:00:00.000Z,,False,False,41649.0,3893.0,Reser Stadium,204,Oregon State,Pac-12,46.0,"[7, 10, 15, 14]",0.9397351378860188,,,331,Eastern Washington,,49.0,"[6, 23, 7, 13]",0.0602648621139811,,,7.43957252256246,,
332432199,2013,1,regular,2013-08-31T22:00:00.000Z,,False,False,7668.0,3912.0,Rynearson Stadium,2199,Eastern Michigan,Mid-American,34.0,"[0, 13, 7, 14]",0.8263502808727544,,,47,Howard,,24.0,"[0, 10, 14, 0]",0.1736497191272455,,,5.90721739296681,,
332432633,2013,1,regular,2013-08-31T22:00:00.000Z,,False,False,97169.0,3853.0,Neyland Stadium,2633,Tennessee,SEC,45.0,"[21, 21, 3, 0]",0.9923846609500516,,,2046,Austin Peay,,0.0,"[0, 0, 0, 0]",0.0076153390499484,,,0.973798859864776,,
332432572,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,25729.0,3815.0,M. M. Roberts Stadium,2572,Southern Mississippi,Conference USA,15.0,"[0, 3, 9, 3]",0.9964928508598732,1269.0,1263.0,326,Texas State,Sun Belt,22.0,"[7, 7, 0, 8]",0.0035071491401267,1359.0,1365.0,5.08051930143181,,
332430002,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,85095.0,3785.0,Jordan-Hare Stadium,2,Auburn,SEC,31.0,"[8, 17, 3, 3]",0.6973890590543024,1395.0,1400.0,265,Washington State,Pac-12,24.0,"[7, 14, 3, 0]",0.3026109409456976,1311.0,1306.0,4.94176529307246,,
332430249,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,21975.0,3825.0,Apogee Stadium,249,North Texas,Conference USA,40.0,"[14, 12, 7, 7]",0.9026975475987457,1334.0,1399.0,70,Idaho,FBS Independents,6.0,"[6, 0, 0, 0]",0.0973024524012544,1099.0,1034.0,3.04311789384732,,
332430201,2013,1,regular,2013-08-31T23:00:00.000Z,,False,False,84911.0,3835.0,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,34.0,"[0, 13, 21, 0]",0.9951319305192384,1749.0,1804.0,2433,Louisiana Monroe,Sun Belt,0.0,"[0, 0, 0, 0]",0.0048680694807616,1435.0,1380.0,3.11213024549651,,
